sequenceID,sd,mean,range_value,abs_skewness,kurtosis,length,sum_diff,variance
106_chr1,0.078337623,-0.011843925,0.844,0.9857089,7.331205372,535,39.77,0.006136783
106_chr11,0.349948735,-0.042464824,1.416,0.007766193,-1.331131804,199,28.222,0.122464117
106_chr14,0.120563113,0.100973913,1.181,3.503164799,27.79436622,115,12.185,0.014535464
106_chr16,0.077287428,-0.0166125,0.817,3.050657929,26.64740953,120,7.532,0.005973346
106_chr17,0.336058526,0.251324468,1.208,1.003539173,-0.467131059,188,23.986,0.112935333
106_chr3,0.101975998,-0.057356031,1.141,2.54348122,20.53665591,257,22.123,0.010399104
106_chr4,0.080206542,-0.085365546,0.469,0.546971531,0.866420047,238,16.809,0.006433089
106_chr5,0.111055415,-0.042860026,1.206,1.535850239,15.42684545,256,17.81233333,0.012333305
106_chr6,0.116411661,-0.006302691,0.784,0.377099168,0.182334069,223,18.998,0.013551675
106_chr8,0.106039937,0.029056701,1.314,4.967078406,51.89313372,194,17.365,0.011244468
106_chr9,0.111505032,-0.056623529,0.659,1.40740592,3.469968897,170,12.168,0.012433372
107_chr1,0.08023747,0.000352401,0.489957234,0.039259354,-0.013311204,397,27.52794355,0.006438052
107_chr11,0.145207184,-0.258696312,0.664750527,0.348819262,-0.395348748,121,17.92240298,0.021085126
107_chr17,0.070372884,0.254588713,0.432524926,0.847457835,2.043334188,143,8.445243552,0.004952343
107_chr2,0.075581577,0.208876033,0.63803313,1.883768559,8.469394032,192,14.0182977,0.005712575
107_chr3,0.122147966,-0.297652346,0.78350818,1.191722654,3.070786792,152,17.24561148,0.014920125
107_chr4,0.077833714,-0.006843096,0.52340783,0.231500116,1.705549862,107,8.113860072,0.006058087
108_chr1,0.095914866,-0.006236893,1.211316013,3.668519726,27.22254855,410,34.43938368,0.009199662
108_chr11,0.282026673,-0.228301563,1.079842955,0.611024818,-0.870056208,142,21.55673418,0.079539044
108_chr17,0.2443401,0.012850634,0.974148122,0.184819268,-1.424935138,154,13.74452881,0.059702085
108_chr2,0.073596796,-0.012557114,0.525918146,0.675596566,2.665360633,215,16.93334318,0.005416488
108_chr3,0.076125729,-0.036920603,0.588953361,1.713911163,6.789612501,177,13.51304812,0.005795127
108_chr4,0.133690097,-0.247525379,0.966400553,1.278867987,4.425997772,147,18.75251282,0.017873042
109_chr1,0.074094493,0.003297503,0.501533452,0.725811436,1.44043932,652,49.50755799,0.005489994
109_chr11,0.076879112,-0.004183437,0.596892711,0.046312944,2.15290166,235,20.43205861,0.005910398
109_chr17,0.11496976,0.163249279,0.972623561,0.106216207,1.81121104,248,25.32864863,0.013218046
109_chr2,0.12212036,0.157125261,0.864398513,0.007406279,0.531384481,414,39.81337563,0.014913382
109_chr3,0.078288403,-0.265981246,0.736178097,1.685455373,9.193955778,391,29.42985231,0.006129074
109_chr4,0.077097929,-0.254043022,0.675179766,2.25460581,11.56798684,322,23.54358642,0.005944091
109_chr8,0.095579003,-0.086290219,0.478653599,0.10855994,-0.976477604,303,18.28218221,0.009135346
10_chr1,0.059091085,-0.031353933,0.471,0.314294535,2.433713679,534,29.16,0.003491756
10_chr11,0.060177826,-0.027236181,0.525,1.558856007,7.548713112,199,10.894,0.003621371
10_chr17,0.130634792,0.292816489,0.967,0.684899565,2.744310932,188,21.48,0.017065449
10_chr2,0.088563136,0.16068202,0.607,1.125922143,2.411136049,330,27.5798,0.007843429
10_chr3,0.096670146,-0.283202335,0.639,0.435490927,0.603639531,257,24.974,0.009345117
10_chr4,0.058901663,-0.022970464,0.513,0.406068579,4.592819086,237,14.102,0.003469406
110_chr1,0.083668676,-0.019783689,0.877539772,0.377472256,3.875480702,438,34.48400843,0.007000447
110_chr11,0.078952956,-0.018470373,0.446528281,0.400181054,1.010064707,149,10.77890207,0.006233569
110_chr17,0.088045267,0.188046758,0.501945565,0.306314197,0.280533355,156,11.23205776,0.007751969
110_chr2,0.099460743,-0.003372625,0.852342377,1.795280228,8.948441318,250,24.25768513,0.009892439
110_chr3,0.088872342,-0.195285298,0.544974651,0.882272819,2.116232401,186,16.70866295,0.007898293
110_chr4,0.1304386,-0.164377103,1.353636955,2.804134153,22.88045226,158,17.97237426,0.017014228
111_chr1,0.070486302,0.325423988,0.548507625,0.191676629,1.143393007,649,39.98600638,0.004968319
111_chr11,0.103977868,-0.063377664,0.638624897,1.843242554,4.718821802,234,17.95349207,0.010811397
111_chr17,0.123812863,0.600343949,1.004037772,1.878524697,7.351162767,247,25.98086032,0.015329625
111_chr2,0.072434427,0.304745363,0.960285846,2.851296325,25.55365976,414,25.58397609,0.005246746
111_chr3,0.073156037,-0.095853788,0.617212666,1.403475738,3.769474211,387,22.6605506,0.005351806
111_chr4,0.086091811,-0.092650092,0.95970353,3.944738566,27.71218061,320,21.52863142,0.0074118
112_chr1,0.083652511,0.029223364,0.762,1.162479278,7.092247487,535,39.628,0.006997743
112_chr11,0.429770128,0.061698492,1.424,0.034098707,-1.595835361,199,29.262,0.184702363
112_chr17,0.323886944,0.20362234,1.439,1.112539927,-0.080398027,188,25.703,0.104902752
112_chr2,0.124629039,0.060229229,1.173,4.313095931,27.33876792,333,24.85966667,0.015532397
112_chr3,0.110880656,-0.071431102,0.962,1.218804157,9.337682364,254,20.615,0.01229452
112_chr4,0.09198544,-0.112759494,0.493,0.949559802,1.186243574,237,19.391,0.008461321
113_chr1,0.148922391,0.106110177,0.969368381,0.41155699,1.077573609,310,24.46402549,0.022177879
113_chr10,0.108229485,0.014340435,0.636524558,0.79662789,1.924529955,90,6.198693941,0.011713621
113_chr11,0.226340755,-0.108499342,0.882252609,0.099299907,-0.974123556,103,13.3678269,0.051230138
113_chr13,0.208191109,0.149946458,1.126788498,2.476992742,7.05898067,69,7.264959742,0.043343538
113_chr17,0.242791548,0.484195554,1.074962058,0.208345351,-0.22826136,99,13.47650598,0.058947736
113_chr2,0.195293143,0.059847871,0.91346325,1.8593702,2.544428596,178,15.49650687,0.038139412
113_chr3,0.122238578,-0.316024124,0.612976877,0.98428786,1.002955256,120,15.85875916,0.01494227
113_chr4,0.15006625,-0.286406588,0.676277667,1.201381571,0.901954756,96,10.89732037,0.022519879
113_chr6,0.288935847,-0.081692695,0.876142455,0.225587264,-1.634159551,102,12.32875945,0.083483924
113_chr7,0.139962257,0.287441754,0.735257252,1.204739518,1.623060415,81,8.131074873,0.019589433
113_chr9,0.171932821,-0.171331383,0.675547504,0.17396024,-1.185921117,81,8.224564135,0.029560895
114_chr1,0.054461594,-0.004537453,0.763,0.483630117,16.33679207,534,27.24,0.002966065
114_chr11,0.215765546,-0.180434673,0.859,0.674807028,-0.718235472,199,16.431,0.046554771
114_chr17,0.267029536,0.192654255,1.207,0.945430464,-0.449603287,188,19.92,0.071304773
114_chr2,0.161257821,0.088603403,0.658,1.100494352,-0.119820208,333,22.93386667,0.026004085
114_chr3,0.221401529,-0.164961089,1.085,0.86223428,-0.282256817,257,25.09,0.049018637
114_chr4,0.155594966,0.125691176,0.625,0.299436008,-1.3006948,238,17.603,0.024209793
115_chr1,0.103075471,-0.003641182,1.137693865,0.481599205,6.904997917,376,36.70956042,0.010624553
115_chr11,0.303730505,-0.231178967,1.35985365,0.607656128,-0.82383283,115,16.16814144,0.09225222
115_chr17,0.285994019,0.265354614,1.397017853,0.447389188,-0.643808571,116,15.78565231,0.081792579
115_chr2,0.191950501,0.098908276,0.876762491,0.600540533,-0.593234799,187,18.96044154,0.036844995
115_chr3,0.265305365,-0.183959729,1.052554306,0.856427323,-0.667109197,131,16.87043919,0.070386937
115_chr4,0.245387469,-0.149047695,1.152003093,1.27030948,0.761785032,108,13.58653929,0.06021501
116_chr1,0.130522661,-0.14129609,0.892286183,0.581644774,0.950644922,427,42.5356178,0.017036165
116_chr11,0.142872403,-0.125457969,0.719063025,0.369327157,-0.084208745,123,15.28256619,0.020412523
116_chr14,0.178711184,-0.41769042,1.038588498,0.065662892,1.777711284,72,10.22028908,0.031937687
116_chr17,0.128830825,0.047286735,0.660441102,0.067488166,-0.236849874,143,15.63335583,0.016597382
116_chr2,0.11205737,0.005670854,0.705674312,0.246642749,0.270626368,215,23.85360485,0.012556854
116_chr3,0.110229576,-0.204934872,0.660720571,0.663661893,0.852516193,169,17.89015663,0.012150559
116_chr4,0.118002951,-0.22966702,0.621074345,0.453903439,0.354262389,142,15.55108642,0.013924696
116_chrX,0.229794747,0.254413338,1.523921715,1.635608778,6.493997091,93,21.2116353,0.052805626
117_chr1,0.08462147,-0.08982138,1.115876358,1.430965458,16.22474886,641,41.38742213,0.007160793
117_chr11,0.073546224,-0.102775277,0.443504155,0.831969884,1.087177749,231,13.77340181,0.005409047
117_chr17,0.109006782,0.262470462,1.104525137,1.684088106,9.767219679,246,23.32190233,0.011882479
117_chr2,0.056910063,0.085513632,0.451819222,0.350763078,1.302360311,411,23.44670454,0.003238755
117_chr3,0.062518883,-0.124734616,0.558696846,0.965357813,2.867980509,383,22.84805149,0.003908611
117_chr4,0.067589035,-0.140815218,0.694514318,2.220245121,12.78926795,320,17.43958129,0.004568278
118_chr1,0.061543962,-0.023726065,0.474221878,0.440629115,1.47369744,384,19.93257201,0.003787659
118_chr11,0.158791885,-0.34764008,0.853761929,0.525353197,1.814182361,153,14.65159058,0.025214863
118_chr17,0.091493244,0.287433505,0.697492696,1.918973847,7.466016929,166,13.14406855,0.008371014
118_chr3,0.104808305,-0.371781148,0.958457738,3.29688947,19.77257509,184,16.49212931,0.010984781
118_chr4,0.105224784,-0.363484483,0.597636331,1.632029895,3.540252437,146,14.83215429,0.011072255
119_chr1,0.066172925,-0.014570093,0.683,1.255085977,10.66049364,535,34.881,0.004378856
119_chr11,0.211380591,-0.189067839,0.8,0.49189338,-0.991219989,199,19.44,0.044681754
119_chr17,0.189181593,0.131255319,0.885,1.160146806,0.506136929,188,15.834,0.035789675
119_chr2,0.121556058,0.014097405,0.831,1.76305464,4.798556541,334,25.29826667,0.014775875
119_chr3,0.197227658,-0.141832685,0.92,0.895405681,-0.334740815,257,22.296,0.038898749
119_chr4,0.061222391,-0.029067227,0.343,0.463868574,0.111732858,238,15.031,0.003748181
11_chr1,0.246537073,0.169974487,1.463780728,1.452575539,2.134538441,495,64.87634407,0.060780529
11_chr11,0.290536023,-0.561060576,1.648566739,1.156721338,1.676548989,163,34.4203214,0.084411181
11_chr14,0.231566839,-0.491624109,1.402782347,1.225852103,2.862916038,103,18.4799498,0.053623201
11_chr16,0.283666185,-0.200918776,1.225816202,0.955243758,0.342693651,92,18.17464927,0.080466504
11_chr17,0.251034972,0.176964913,1.26823599,0.954279167,0.642583744,177,29.3705974,0.063018557
11_chr2,0.200495525,0.274431763,1.407175382,1.862173199,4.835433145,283,43.83168149,0.040198456
11_chr21,0.222792529,-0.43759119,1.194378045,0.364956053,1.607797398,44,8.427040365,0.049636511
11_chr3,0.182010699,-0.021335972,1.242443311,2.067315707,6.135078159,216,28.2448829,0.033127895
11_chr4,0.153355894,-0.04004588,1.001247467,2.023895639,5.833437407,178,18.32311858,0.02351803
11_chr7,0.220603614,0.245574703,1.241998621,1.549320842,2.509373336,140,22.34269156,0.048665954
11_chr9,0.239507865,0.208732263,1.44198589,1.575837602,3.493794364,128,20.0166008,0.057364018
120_chr1,0.076985883,0.001749064,1.047,3.261641568,36.02585432,534,35.648,0.005926826
120_chr11,0.056912252,0.007974874,0.358,0.851989855,1.294825555,199,12.024,0.003239004
120_chr17,0.094689547,0.152226064,0.623,0.073256973,1.102251647,188,16.245,0.00896611
120_chr2,0.067139661,0.014360926,0.53,1.360182023,4.324000494,331,22.19993333,0.004507734
120_chr3,0.065381628,0.007398833,0.373,1.279999596,1.793684578,257,17.295,0.004274757
120_chr4,0.068295376,-0.176919831,0.451,0.325981798,1.207390347,237,18.118,0.004664258
121_chr1,0.169755715,-0.038229179,0.817189282,0.366283245,-0.929960375,416,34.12477829,0.028817003
121_chr11,0.329808102,-0.329283964,1.419362246,0.752751151,-0.69460816,143,22.41485902,0.108773384
121_chr17,0.171252603,0.302167325,0.868167164,0.335208969,-0.437915386,149,12.53353456,0.029327454
121_chr2,0.177898888,0.094137505,0.920766162,1.377040697,1.019800658,236,19.7329489,0.031648015
121_chr3,0.253847254,-0.045513826,1.020282395,0.623425186,-1.14858702,182,18.37893715,0.064438428
121_chr4,0.11509281,-0.24060697,0.68578687,1.564810302,3.356783307,147,15.79625493,0.013246355
122_chr1,0.083962582,0.006832639,0.704837966,0.298105921,2.144222681,473,41.14178488,0.007049715
122_chr11,0.103771254,0.021556642,0.53754572,0.713377916,0.90686826,156,17.14657901,0.010768473
122_chr17,0.129828728,0.580418882,0.665716373,0.175273174,-0.112242705,164,18.27696698,0.016855499
122_chr2,0.100776701,0.318280926,0.656468466,0.231838488,0.411682717,277,30.50296634,0.010155943
122_chr3,0.0953139,-0.007971385,0.789459169,0.403699524,2.357184433,208,21.36317267,0.009084739
122_chr4,0.10483291,0.000712911,0.689845304,0.107740753,1.541122892,167,18.72104313,0.010989939
123_chr1,0.284667262,0.087107908,2.290786851,1.053333705,4.331448918,366,63.93623219,0.08103545
123_chr11,0.354815282,-0.158832905,1.530620809,0.099020995,-0.733933468,123,24.63150039,0.125893885
123_chr12,0.195063575,0.035363517,0.986561626,0.501669503,0.64471149,159,21.94121964,0.038049798
123_chr14,0.218230924,-0.012669016,1.684918846,4.172461518,24.77869268,65,9.284942165,0.047624736
123_chr16,0.170895548,0.098684803,0.961425484,0.285985136,1.234371444,67,8.793684698,0.029205288
123_chr17,0.356930387,0.411340006,1.757336484,0.031637868,-0.374818951,120,24.78682072,0.127399301
123_chr19,0.182710229,-0.006215537,0.776551046,1.110280072,0.784091056,43,5.978812599,0.033383028
123_chr2,0.153906656,-0.047696805,1.300296497,1.013088111,3.556621368,209,32.33661944,0.023687259
123_chr3,0.268402551,-0.228255139,1.362570079,0.661507507,-0.059121989,138,27.9565565,0.07203993
123_chr4,0.337950638,-0.059937635,1.656076983,1.06602322,1.026130858,120,26.25588085,0.114210633
123_chr7,0.208977235,0.176197168,1.048343376,0.142444842,-0.070674865,91,13.24377652,0.043671485
123_chrX,0.272620713,0.173482079,1.366350695,0.520659878,0.261885449,96,18.20841529,0.074322053
124_chr1,0.060056109,0.006127173,0.809145978,1.916520522,18.05100954,647,31.23760349,0.003606736
124_chr11,0.110056363,-0.270145238,0.897772934,1.597331795,6.045925127,235,21.38307792,0.012112403
124_chr17,0.076067453,0.233949987,0.432249702,0.512183596,0.40672402,248,16.06554239,0.005786257
124_chr2,0.061559643,0.255105988,0.52905376,1.679487576,6.9308313,412,23.83806885,0.00378959
124_chr3,0.056328759,0.110002839,0.633670706,1.792358193,13.30926284,389,19.20655643,0.003172929
124_chr4,0.052547698,0.019617273,0.633392414,1.874956965,13.6760283,322,16.28600884,0.002761261
125_chr1,0.084257904,0.078175422,0.938,2.199816341,16.47955152,533,43.144,0.007099394
125_chr11,0.077060164,-0.155123116,0.437,0.135260151,0.039947639,199,16.366,0.005938269
125_chr17,0.085493502,0.13231383,0.555,0.020542423,0.431038682,188,16.075,0.007309139
125_chr2,0.097350125,0.121518182,0.646,0.743279848,1.168583915,330,33.238,0.009477047
125_chr3,0.069589174,-0.162172549,0.384,0.080835718,-0.147933356,255,18.872,0.004842653
125_chr4,0.066000231,-0.034048523,0.45,0.212859017,1.993483918,237,17.742,0.00435603
126_chr1,0.067384708,0.027674812,0.725319153,0.561256938,4.237875314,651,32.74129579,0.004540699
126_chr11,0.09222808,-0.115521248,0.734880774,1.572190992,6.700123312,235,17.18524222,0.008506019
126_chr17,0.110320725,0.353349195,0.868755467,0.986616239,3.507479378,248,23.5585215,0.012170662
126_chr2,0.058131346,0.106319403,0.637827741,1.587293435,11.87617438,414,20.96473907,0.003379253
126_chr3,0.080921603,-0.16457884,0.855427552,0.172227733,5.056639794,390,26.16445184,0.006548306
126_chr4,0.086790405,-0.185141893,0.840098727,1.802516981,9.847324696,322,24.65669717,0.007532574
127_chr1,0.133649708,0.043849607,1.105560631,0.418663755,0.889802172,503,45.13912045,0.017862244
127_chr11,0.103582776,0.018680993,0.610341347,0.496698171,0.52607378,166,16.73424659,0.010729391
127_chr17,0.190311251,0.400220677,0.868722085,0.046661448,-0.808061779,170,21.79116332,0.036218372
127_chr2,0.110407152,0.002890061,0.705931114,0.552342054,0.96439752,292,26.77725143,0.012189739
127_chr3,0.103950018,-0.002137709,0.631051731,0.277811839,0.343715735,224,19.71555315,0.010805606
127_chr4,0.260677331,0.033258185,1.20886543,1.079779323,0.212368987,192,23.40338646,0.067952671
128_chr1,0.052312824,0.004263292,0.55786884,0.744150275,5.830307388,452,23.40293543,0.002736632
128_chr11,0.334163369,-0.03531384,1.073885713,0.462122843,-1.342940588,140,17.18309918,0.111665157
128_chr12,0.14277425,0.140577384,0.567201062,0.076653918,-1.315557525,190,16.05562426,0.020384486
128_chr17,0.33082341,0.222014972,1.139634536,0.820140245,-0.885441016,143,16.67666668,0.109444129
128_chr2,0.123964967,0.057475234,0.569639831,1.355940185,0.850957855,243,14.68622984,0.015367313
128_chr3,0.206327736,-0.139716276,0.813470091,0.941163838,-0.388904183,171,22.00669855,0.042571135
128_chr4,0.062314457,-0.00373523,0.50444546,0.604967871,4.400663687,144,9.425881202,0.003883092
128_chr6,0.134329326,0.090188619,0.502773191,0.722171245,-0.842597157,149,9.838651572,0.018044368
129_chr1,0.122934568,-0.102932891,0.776951361,0.696553311,0.227420914,651,57.62683555,0.015112908
129_chr11,0.126286424,-0.114217775,0.642701572,0.909879021,0.55849786,234,22.52763873,0.015948261
129_chr17,0.117506703,0.206448172,0.729179849,0.08377238,0.113422333,248,28.90792278,0.013807825
129_chr2,0.089528729,0.019212607,0.617946323,0.565856351,0.513664497,413,35.70402008,0.008015393
129_chr3,0.097078345,-0.158737022,0.575928689,1.192774523,1.872492661,389,30.04531623,0.009424205
129_chr4,0.128816876,-0.348634046,1.126643643,1.522705937,5.528747858,321,35.20689962,0.016593787
129_chr9,0.123249177,-0.15044513,0.776252299,0.671207241,1.651265327,194,17.02783905,0.01519036
12_chr1,0.118398515,0.010348598,1.086,0.686978597,7.478288635,535,30.841,0.014018208
12_chr11,0.335416648,-0.055135678,1.17,0.26312904,-1.471690985,199,24.264,0.112504327
12_chr14,0.098689551,0.005113043,1.106,7.414798551,70.67797647,115,6.918,0.009739627
12_chr17,0.313618542,0.370797872,1.115,0.158905426,-1.284841056,188,26.047,0.09835659
12_chr2,0.160868057,0.090824825,0.634,0.688109383,-0.944827973,333,20.90133333,0.025878532
12_chr22,0.151968158,-0.055760638,0.938,3.114689329,10.42776412,94,8.982,0.023094321
12_chr3,0.059351319,-0.026445525,0.545,1.383243716,8.449386861,257,14.286,0.003522579
12_chr4,0.077212314,-0.038602941,0.765,0.888745413,11.02708929,238,13.142,0.005961741
12_chr6,0.139939457,0.066183857,0.963,0.724550903,0.325459221,223,16.654,0.019583052
12_chrX,0.186743666,-0.242772727,0.876,0.214531574,-0.989709314,187,18.231,0.034873197
130_chr1,0.066296387,-0.00680586,0.605409542,0.282254378,2.502872922,390,25.8796372,0.004395211
130_chr11,0.064420625,0.007890583,0.319080982,0.411560873,0.126409504,148,9.487219131,0.004150017
130_chr17,0.071714417,-0.019495728,0.576767139,0.366210083,3.776227593,168,11.3683977,0.005142958
130_chr2,0.082738142,0.00707173,0.68713784,0.604182774,4.301435115,239,18.67817914,0.0068456
130_chr3,0.076049734,0.016955238,0.534605361,1.039396323,3.153023049,186,14.69981193,0.005783562
130_chr4,0.08745106,0.024498411,0.668080133,0.773867599,3.099758065,145,12.85831664,0.007647688
131_chr1,0.060520147,0.00455304,0.523955415,0.689153227,3.589192005,414,25.35629583,0.003662688
131_chr11,0.190956317,-0.121675637,0.832490741,1.061581077,0.247574601,123,13.06154546,0.036464315
131_chr17,0.079026732,-0.030460642,0.399893294,1.113110322,1.028294562,135,10.52030768,0.006245224
131_chr2,0.061192319,0.000732383,0.548602635,0.653521414,3.797694534,227,15.00694894,0.0037445
131_chr3,0.084333374,-0.012654788,0.818726566,1.562155551,10.9483827,170,13.13045764,0.007112118
131_chr4,0.073114923,-0.070771533,0.459939223,1.055806795,2.269254245,141,10.03545965,0.005345792
132_chr1,0.177177048,0.00083059,1.454137319,0.144803947,0.88549616,504,74.63996391,0.031391706
132_chr11,0.20938005,-0.035255287,1.246355665,0.297890336,0.782850507,168,32.58789961,0.043840005
132_chr17,0.190266597,0.400825342,0.887314489,0.203617655,-0.425270748,177,29.29432772,0.036201378
132_chr2,0.188351,-0.038992809,1.581486125,0.035614775,1.821398219,287,54.65400022,0.035476099
132_chr3,0.170222769,-0.027282255,0.951493162,0.363379237,0.08665975,219,38.69790144,0.028975791
132_chr4,0.234825128,-0.338838817,1.339008579,0.000710445,0.722110496,176,41.51249894,0.055142841
133_chr1,0.089555057,-0.028345473,0.716702153,0.143273762,0.998802667,510,37.85248213,0.008020108
133_chr11,0.260025927,-0.003194469,1.485551579,3.619980202,13.6096329,171,16.4665493,0.067613483
133_chr2,0.430160669,0.070052004,4.190431304,7.048153651,53.58036787,295,34.7899432,0.185038201
133_chr3,0.081066415,-0.007860182,0.488286481,0.014110043,0.014406609,221,16.45090703,0.006571764
133_chr4,0.086300857,0.092180978,0.65970355,0.663041096,3.242613514,192,15.11482655,0.007447838
134_chr1,0.050892532,0.007822368,0.797,3.184940095,37.66575449,532,22.142,0.00259005
134_chr11,0.035827785,0.003854271,0.258,0.027311798,2.143533337,199,6.931,0.00128363
134_chr17,0.045856833,0.077213904,0.344,0.392536077,2.192836791,187,7.889,0.002102849
134_chr2,0.033494081,-0.002619019,0.293,0.566528858,2.478725601,333,11.1174,0.001121853
134_chr3,0.033014715,-0.004954902,0.267,0.125534741,2.603019232,255,8.249,0.001089971
134_chr4,0.033529963,-0.006943038,0.203,0.462938996,1.159526731,237,7.988,0.001124258
135_chr1,0.100315841,0.042617952,0.83219505,0.024228626,1.102128004,441,41.21182083,0.010063268
135_chr11,0.134978863,-0.295272355,0.881791956,1.637006486,4.705802399,147,19.2065805,0.018219294
135_chr17,0.125496832,0.259342225,0.735663816,0.026269312,0.687765817,156,17.64825207,0.015749455
135_chr2,0.115537703,0.237780571,0.848399108,0.683747211,2.229891355,253,29.06567315,0.013348961
135_chr3,0.102319082,-0.005965238,0.660324057,0.146490946,1.004304776,188,18.19863776,0.010469195
135_chr4,0.101544131,-0.026101678,0.595404247,0.769618872,1.452443918,157,15.47274584,0.01031121
136_chr1,0.106449135,-0.002325691,0.755030747,0.413980956,1.687450385,467,51.55812769,0.011331418
136_chr11,0.126387218,-0.29695426,0.625525673,0.566646608,0.215226979,148,20.42394084,0.015973729
136_chr17,0.10868325,0.246368147,0.647698256,0.280212705,0.212854938,167,17.25831067,0.011812049
136_chr2,0.106441613,0.225537098,0.64385619,0.304008392,0.209468218,248,28.76806251,0.011329817
136_chr3,0.110744369,-0.018771183,0.948567426,0.364467459,3.633020224,194,22.82680814,0.012264315
136_chr4,0.137996145,-0.029118784,0.791987226,0.208016628,0.483571917,174,25.407343,0.019042936
137_chr1,0.088543715,-0.015279031,0.80161094,0.203689747,2.326545108,474,37.68503798,0.007839989
137_chr11,0.093108131,0.032345117,0.455369593,0.043616943,-0.276295665,165,15.12032785,0.008669124
137_chr17,0.085203554,0.04330224,0.457045026,0.08568056,0.111189544,172,14.41123429,0.007259646
137_chr2,0.27745057,0.072418103,2.417576651,6.057303438,41.12964439,264,27.16264202,0.076978819
137_chr3,0.100793626,-0.059681461,0.784818717,0.455079304,2.256887426,207,18.58640593,0.010159355
137_chr4,0.094022406,-0.016784885,0.72962755,0.144877337,2.178100826,174,16.67380691,0.008840213
138_chr1,0.134381516,0.037759641,0.738398616,0.165750143,-0.481855345,650,65.15129778,0.018058392
138_chr11,0.132160416,-0.090457469,0.580645821,0.391020019,-0.631145476,235,23.92497724,0.017466375
